Domain,Area,Element,Item,Year,Value
"Livestock Primary","Belgium-Luxembourg","Production","Eggs Primary","1996","219569"
"Livestock Primary","Belgium-Luxembourg","Production","Eggs Primary","1997","227850"
"Livestock Primary","Belgium-Luxembourg","Production","Eggs Primary","1998","237500"
"Livestock Primary","Belgium-Luxembourg","Production","Eggs Primary","1999","225850"
"Livestock Primary","Belgium-Luxembourg","Production","Meat, Total","1990","1333319"
"Livestock Primary","Belgium-Luxembourg","Production","Meat, Total","1991","1535070"
"Livestock Primary","Belgium-Luxembourg","Production","Meat, Total","1992","1571900"
"Livestock Primary","Belgium-Luxembourg","Production","Meat, Total","1993","1652366"
"Livestock Primary","Belgium-Luxembourg","Production","Meat, Total","1994","1682946"
"Livestock Primary","Belgium-Luxembourg","Production","Meat, Total","1995","1751040"
"Livestock Primary","Belgium-Luxembourg","Production","Meat, Total","1996","1804104"
"Livestock Primary","Belgium-Luxembourg","Production","Meat, Total","1997","1743430"
"Livestock Primary","Belgium-Luxembourg","Production","Meat, Total","1998","1801223"
"Livestock Primary","Belgium-Luxembourg","Production","Meat, Total","1999","1689862"
"Livestock Primary","Belgium-Luxembourg","Production","Milk,Total","1990","3899763"
"Livestock Primary","Belgium-Luxembourg","Production","Milk,Total","1991","3808440"
"Livestock Primary","Belgium-Luxembourg","Production","Milk,Total","1992","3774800"
"Livestock Primary","Belgium-Luxembourg","Production","Milk,Total","1993","3611576"
"Livestock Primary","Belgium-Luxembourg","Production","Milk,Total","1994","3605440"
"Livestock Primary","Belgium-Luxembourg","Production","Milk,Total","1995","3643920"
"Livestock Primary","Belgium-Luxembourg","Production","Milk,Total","1996","3681200"
"Livestock Primary","Belgium-Luxembourg","Production","Milk,Total","1997","3476882"
"Livestock Primary","Belgium-Luxembourg","Production","Milk,Total","1998","3682279"
"Livestock Primary","Belgium-Luxembourg","Production","Milk,Total","1999","3649000"
"Livestock Primary","Belize","Production","Eggs Primary","1990","1277"
"Livestock Primary","Belize","Production","Eggs Primary","1991","1312"
"Livestock Primary","Belize","Production","Eggs Primary","1992","1200"
"Livestock Primary","Belize","Production","Eggs Primary","1993","1200"
"Livestock Primary","Belize","Production","Eggs Primary","1994","1450"
"Livestock Primary","Belize","Production","Eggs Primary","1995","1250"
"Livestock Primary","Belize","Production","Eggs Primary","1996","1375"
"Livestock Primary","Belize","Production","Eggs Primary","1997","1581"
"Livestock Primary","Belize","Production","Eggs Primary","1998","1608"
"Livestock Primary","Belize","Production","Eggs Primary","1999","1766"
"Livestock Primary","Belize","Production","Eggs Primary","2000","1717"
"Livestock Primary","Belize","Production","Eggs Primary","2001","1763"
"Livestock Primary","Belize","Production","Eggs Primary","2002","1822"
"Livestock Primary","Belize","Production","Eggs Primary","2003","1600"
"Livestock Primary","Belize","Production","Eggs Primary","2004","1745"
"Livestock Primary","Belize","Production","Eggs Primary","2005","1472"
"Livestock Primary","Belize","Production","Eggs Primary","2006","1616"
"Livestock Primary","Belize","Production","Eggs Primary","2007","1805"
"Livestock Primary","Belize","Production","Eggs Primary","2008","2065"
"Livestock Primary","Belize","Production","Eggs Primary","2009","2098"
"Livestock Primary","Belize","Production","Eggs Primary","2010","2469"
"Livestock Primary","Belize","Production","Eggs Primary","2011","2163"
"Livestock Primary","Belize","Production","Eggs Primary","2012","1679"
"Livestock Primary","Belize","Production","Meat, Total","1990","8272"
"Livestock Primary","Belize","Production","Meat, Total","1991","8484"
"Livestock Primary","Belize","Production","Meat, Total","1992","9626"
"Livestock Primary","Belize","Production","Meat, Total","1993","6277"
"Livestock Primary","Belize","Production","Meat, Total","1994","8867"
"Livestock Primary","Belize","Production","Meat, Total","1995","9285"
"Livestock Primary","Belize","Production","Meat, Total","1996","9664"
"Livestock Primary","Belize","Production","Meat, Total","1997","9633"
"Livestock Primary","Belize","Production","Meat, Total","1998","9524"
"Livestock Primary","Belize","Production","Meat, Total","1999","10482"
"Livestock Primary","Belize","Production","Meat, Total","2000","10731"
"Livestock Primary","Belize","Production","Meat, Total","2001","16299"
"Livestock Primary","Belize","Production","Meat, Total","2002","17003"
"Livestock Primary","Belize","Production","Meat, Total","2003","17077"
"Livestock Primary","Belize","Production","Meat, Total","2004","17563"
"Livestock Primary","Belize","Production","Meat, Total","2005","16698"
"Livestock Primary","Belize","Production","Meat, Total","2006","16600"
"Livestock Primary","Belize","Production","Meat, Total","2007","16315"
"Livestock Primary","Belize","Production","Meat, Total","2008","15553"
"Livestock Primary","Belize","Production","Meat, Total","2009","16035"
"Livestock Primary","Belize","Production","Meat, Total","2010","16600"
"Livestock Primary","Belize","Production","Meat, Total","2011","16837"
"Livestock Primary","Belize","Production","Meat, Total","2012","17483"
"Livestock Primary","Belize","Production","Milk,Total","1990","1240"
"Livestock Primary","Belize","Production","Milk,Total","1991","1293"
"Livestock Primary","Belize","Production","Milk,Total","1992","1147"
"Livestock Primary","Belize","Production","Milk,Total","1993","1301"
"Livestock Primary","Belize","Production","Milk,Total","1994","1374"
"Livestock Primary","Belize","Production","Milk,Total","1995","1318"
"Livestock Primary","Belize","Production","Milk,Total","1996","1136"
"Livestock Primary","Belize","Production","Milk,Total","1997","1139"
"Livestock Primary","Belize","Production","Milk,Total","1998","1139"
"Livestock Primary","Belize","Production","Milk,Total","1999","1331"
"Livestock Primary","Belize","Production","Milk,Total","2000","1397"
"Livestock Primary","Belize","Production","Milk,Total","2001","2531"
"Livestock Primary","Belize","Production","Milk,Total","2002","3367"
"Livestock Primary","Belize","Production","Milk,Total","2003","3440"
"Livestock Primary","Belize","Production","Milk,Total","2004","3617"
"Livestock Primary","Belize","Production","Milk,Total","2005","3786"
"Livestock Primary","Belize","Production","Milk,Total","2006","3014"
"Livestock Primary","Belize","Production","Milk,Total","2007","2706"
"Livestock Primary","Belize","Production","Milk,Total","2008","2920"
"Livestock Primary","Belize","Production","Milk,Total","2009","3754"
"Livestock Primary","Belize","Production","Milk,Total","2010","3325"
"Livestock Primary","Belize","Production","Milk,Total","2011","3945"
"Livestock Primary","Belize","Production","Milk,Total","2012","5385"
"Livestock Primary","Benin","Production","Eggs Primary","1990","6930"
"Livestock Primary","Benin","Production","Eggs Primary","1991","3050"
"Livestock Primary","Benin","Production","Eggs Primary","1992","3100"
"Livestock Primary","Benin","Production","Eggs Primary","1993","3250"
"Livestock Primary","Benin","Production","Eggs Primary","1994","3300"
"Livestock Primary","Benin","Production","Eggs Primary","1995","3400"
"Livestock Primary","Benin","Production","Eggs Primary","1996","3750"
"Livestock Primary","Benin","Production","Eggs Primary","1997","3600"
"Livestock Primary","Benin","Production","Eggs Primary","1998","3700"
"Livestock Primary","Benin","Production","Eggs Primary","1999","3800"
"Livestock Primary","Benin","Production","Eggs Primary","2000","4500"
"Livestock Primary","Benin","Production","Eggs Primary","2001","8800"
"Livestock Primary","Benin","Production","Eggs Primary","2002","9150"
"Livestock Primary","Benin","Production","Eggs Primary","2003","10500"
"Livestock Primary","Benin","Production","Eggs Primary","2004","9900"
"Livestock Primary","Benin","Production","Eggs Primary","2005","10600"
"Livestock Primary","Benin","Production","Eggs Primary","2006","9850"
"Livestock Primary","Benin","Production","Eggs Primary","2007","10200"
"Livestock Primary","Benin","Production","Eggs Primary","2008","5400"
"Livestock Primary","Benin","Production","Eggs Primary","2009","5550"
"Livestock Primary","Benin","Production","Eggs Primary","2010","9851"
"Livestock Primary","Benin","Production","Eggs Primary","2011","10664"
"Livestock Primary","Benin","Production","Eggs Primary","2012","11552"
"Livestock Primary","Benin","Production","Meat, Total","1990","42769"
"Livestock Primary","Benin","Production","Meat, Total","1991","40405"
"Livestock Primary","Benin","Production","Meat, Total","1992","41507"
"Livestock Primary","Benin","Production","Meat, Total","1993","42480"
"Livestock Primary","Benin","Production","Meat, Total","1994","45413"
"Livestock Primary","Benin","Production","Meat, Total","1995","43799"
"Livestock Primary","Benin","Production","Meat, Total","1996","45517"
"Livestock Primary","Benin","Production","Meat, Total","1997","45046"
"Livestock Primary","Benin","Production","Meat, Total","1998","46019"
"Livestock Primary","Benin","Production","Meat, Total","1999","44533"
"Livestock Primary","Benin","Production","Meat, Total","2000","53746"
"Livestock Primary","Benin","Production","Meat, Total","2001","52580"
"Livestock Primary","Benin","Production","Meat, Total","2002","54258"
"Livestock Primary","Benin","Production","Meat, Total","2003","59601"
"Livestock Primary","Benin","Production","Meat, Total","2004","58363"
"Livestock Primary","Benin","Production","Meat, Total","2005","60649"
"Livestock Primary","Benin","Production","Meat, Total","2006","57859"
"Livestock Primary","Benin","Production","Meat, Total","2007","60061"
"Livestock Primary","Benin","Production","Meat, Total","2008","61302"
"Livestock Primary","Benin","Production","Meat, Total","2009","63082"
"Livestock Primary","Benin","Production","Meat, Total","2010","64934"
"Livestock Primary","Benin","Production","Meat, Total","2011","68143"
"Livestock Primary","Benin","Production","Meat, Total","2012","69688"
"Livestock Primary","Benin","Production","Milk,Total","1990","21025"
"Livestock Primary","Benin","Production","Milk,Total","1991","79709"
"Livestock Primary","Benin","Production","Milk,Total","1992","82844"
"Livestock Primary","Benin","Production","Milk,Total","1993","83608"
"Livestock Primary","Benin","Production","Milk,Total","1994","89966"
"Livestock Primary","Benin","Production","Milk,Total","1995","79074"
"Livestock Primary","Benin","Production","Milk,Total","1996","88136"
"Livestock Primary","Benin","Production","Milk,Total","1997","90077"
"Livestock Primary","Benin","Production","Milk,Total","1998","92019"
"Livestock Primary","Benin","Production","Milk,Total","1999","95947"
"Livestock Primary","Benin","Production","Milk,Total","2000","96187"
"Livestock Primary","Benin","Production","Milk,Total","2001","99230"
"Livestock Primary","Benin","Production","Milk,Total","2002","101498"
"Livestock Primary","Benin","Production","Milk,Total","2003","103745"
"Livestock Primary","Benin","Production","Milk,Total","2004","106450"
"Livestock Primary","Benin","Production","Milk,Total","2005","108809"
"Livestock Primary","Benin","Production","Milk,Total","2006","111764"
"Livestock Primary","Benin","Production","Milk,Total","2007","114465"
"Livestock Primary","Benin","Production","Milk,Total","2008","117240"
"Livestock Primary","Benin","Production","Milk,Total","2009","120070"
"Livestock Primary","Benin","Production","Milk,Total","2010","123564"
"Livestock Primary","Benin","Production","Milk,Total","2011","126785"
"Livestock Primary","Benin","Production","Milk,Total","2012","130201"
"Livestock Primary","Bermuda","Production","Eggs Primary","1990","475"
"Livestock Primary","Bermuda","Production","Eggs Primary","1991","450"
"Livestock Primary","Bermuda","Production","Eggs Primary","1992","375"
"Livestock Primary","Bermuda","Production","Eggs Primary","1993","400"
"Livestock Primary","Bermuda","Production","Eggs Primary","1994","350"
"Livestock Primary","Bermuda","Production","Eggs Primary","1995","321"
"Livestock Primary","Bermuda","Production","Eggs Primary","1996","280"
"Livestock Primary","Bermuda","Production","Eggs Primary","1997","333"
"Livestock Primary","Bermuda","Production","Eggs Primary","1998","333"
"Livestock Primary","Bermuda","Production","Eggs Primary","1999","334"
"Livestock Primary","Bermuda","Production","Eggs Primary","2000","335"
"Livestock Primary","Bermuda","Production","Eggs Primary","2001","323"
"Livestock Primary","Bermuda","Production","Eggs Primary","2002","323"
"Livestock Primary","Bermuda","Production","Eggs Primary","2003","324"
"Livestock Primary","Bermuda","Production","Eggs Primary","2004","324"
"Livestock Primary","Bermuda","Production","Eggs Primary","2005","324"
"Livestock Primary","Bermuda","Production","Eggs Primary","2006","324"
"Livestock Primary","Bermuda","Production","Eggs Primary","2007","340"
"Livestock Primary","Bermuda","Production","Eggs Primary","2008","350"
"Livestock Primary","Bermuda","Production","Eggs Primary","2009","370"
"Livestock Primary","Bermuda","Production","Eggs Primary","2010","353"
"Livestock Primary","Bermuda","Production","Eggs Primary","2011","360"
"Livestock Primary","Bermuda","Production","Eggs Primary","2012","357"
"Livestock Primary","Bermuda","Production","Meat, Total","1990","295"
"Livestock Primary","Bermuda","Production","Meat, Total","1991","262"
"Livestock Primary","Bermuda","Production","Meat, Total","1992","253"
"Livestock Primary","Bermuda","Production","Meat, Total","1993","231"
"Livestock Primary","Bermuda","Production","Meat, Total","1994","219"
"Livestock Primary","Bermuda","Production","Meat, Total","1995","227"
"Livestock Primary","Bermuda","Production","Meat, Total","1996","177"
"Livestock Primary","Bermuda","Production","Meat, Total","1997","178"
"Livestock Primary","Bermuda","Production","Meat, Total","1998","184"
"Livestock Primary","Bermuda","Production","Meat, Total","1999","177"
"Livestock Primary","Bermuda","Production","Meat, Total","2000","177"
"Livestock Primary","Bermuda","Production","Meat, Total","2001","186"
"Livestock Primary","Bermuda","Production","Meat, Total","2002","189"
"Livestock Primary","Bermuda","Production","Meat, Total","2003","189"
"Livestock Primary","Bermuda","Production","Meat, Total","2004","191"
"Livestock Primary","Bermuda","Production","Meat, Total","2005","187"
"Livestock Primary","Bermuda","Production","Meat, Total","2006","198"
"Livestock Primary","Bermuda","Production","Meat, Total","2007","207"
"Livestock Primary","Bermuda","Production","Meat, Total","2008","216"
"Livestock Primary","Bermuda","Production","Meat, Total","2009","217"
"Livestock Primary","Bermuda","Production","Meat, Total","2010","212"
"Livestock Primary","Bermuda","Production","Meat, Total","2011","212"
"Livestock Primary","Bermuda","Production","Meat, Total","2012","224"
"Livestock Primary","Bermuda","Production","Milk,Total","1990","1500"
"Livestock Primary","Bermuda","Production","Milk,Total","1991","1450"
"Livestock Primary","Bermuda","Production","Milk,Total","1992","1400"
"Livestock Primary","Bermuda","Production","Milk,Total","1993","1380"
"Livestock Primary","Bermuda","Production","Milk,Total","1994","1320"
"Livestock Primary","Bermuda","Production","Milk,Total","1995","1065"
"Livestock Primary","Bermuda","Production","Milk,Total","1996","1350"
"Livestock Primary","Bermuda","Production","Milk,Total","1997","1302"
"Livestock Primary","Bermuda","Production","Milk,Total","1998","1400"
"Livestock Primary","Bermuda","Production","Milk,Total","1999","1450"
"Livestock Primary","Bermuda","Production","Milk,Total","2000","1480"
"Livestock Primary","Bermuda","Production","Milk,Total","2001","1500"
"Livestock Primary","Bermuda","Production","Milk,Total","2002","1600"
"Livestock Primary","Bermuda","Production","Milk,Total","2003","1550"
"Livestock Primary","Bermuda","Production","Milk,Total","2004","1350"
"Livestock Primary","Bermuda","Production","Milk,Total","2005","1307"
"Livestock Primary","Bermuda","Production","Milk,Total","2006","1430"
"Livestock Primary","Bermuda","Production","Milk,Total","2007","1420"
"Livestock Primary","Bermuda","Production","Milk,Total","2008","1550"
"Livestock Primary","Bermuda","Production","Milk,Total","2009","1420"
"Livestock Primary","Bermuda","Production","Milk,Total","2010","1302"
"Livestock Primary","Bermuda","Production","Milk,Total","2011","1341"
"Livestock Primary","Bermuda","Production","Milk,Total","2012","1360"
"Livestock Primary","Bhutan","Production","Eggs Primary","1990","320"
"Livestock Primary","Bhutan","Production","Eggs Primary","1991","330"
"Livestock Primary","Bhutan","Production","Eggs Primary","1992","340"
"Livestock Primary","Bhutan","Production","Eggs Primary","1993","350"
"Livestock Primary","Bhutan","Production","Eggs Primary","1994","360"
"Livestock Primary","Bhutan","Production","Eggs Primary","1995","370"
"Livestock Primary","Bhutan","Production","Eggs Primary","1996","340"
"Livestock Primary","Bhutan","Production","Eggs Primary","1997","440"
"Livestock Primary","Bhutan","Production","Eggs Primary","1998","400"
"Livestock Primary","Bhutan","Production","Eggs Primary","1999","360"
"Livestock Primary","Bhutan","Production","Eggs Primary","2000","360"
"Livestock Primary","Bhutan","Production","Eggs Primary","2001","320"
"Livestock Primary","Bhutan","Production","Eggs Primary","2002","226"
"Livestock Primary","Bhutan","Production","Eggs Primary","2003","240"
"Livestock Primary","Bhutan","Production","Eggs Primary","2004","240"
"Livestock Primary","Bhutan","Production","Eggs Primary","2005","240"
"Livestock Primary","Bhutan","Production","Eggs Primary","2006","260"
"Livestock Primary","Bhutan","Production","Eggs Primary","2007","263"
"Livestock Primary","Bhutan","Production","Eggs Primary","2008","276"
"Livestock Primary","Bhutan","Production","Eggs Primary","2009","649"
"Livestock Primary","Bhutan","Production","Eggs Primary","2010","1107"
"Livestock Primary","Bhutan","Production","Eggs Primary","2011","2104"
"Livestock Primary","Bhutan","Production","Eggs Primary","2012","1750"
"Livestock Primary","Bhutan","Production","Meat, Total","1990","7135"
"Livestock Primary","Bhutan","Production","Meat, Total","1991","8219"
"Livestock Primary","Bhutan","Production","Meat, Total","1992","8270"
"Livestock Primary","Bhutan","Production","Meat, Total","1993","8455"
"Livestock Primary","Bhutan","Production","Meat, Total","1994","8659"
"Livestock Primary","Bhutan","Production","Meat, Total","1995","9019"
"Livestock Primary","Bhutan","Production","Meat, Total","1996","9857"
"Livestock Primary","Bhutan","Production","Meat, Total","1997","8646"
"Livestock Primary","Bhutan","Production","Meat, Total","1998","8410"
"Livestock Primary","Bhutan","Production","Meat, Total","1999","9194"
"Livestock Primary","Bhutan","Production","Meat, Total","2000","7729"
"Livestock Primary","Bhutan","Production","Meat, Total","2001","7636"
"Livestock Primary","Bhutan","Production","Meat, Total","2002","7389"
"Livestock Primary","Bhutan","Production","Meat, Total","2003","7704"
"Livestock Primary","Bhutan","Production","Meat, Total","2004","7715"
"Livestock Primary","Bhutan","Production","Meat, Total","2005","7376"
"Livestock Primary","Bhutan","Production","Meat, Total","2006","7589"
"Livestock Primary","Bhutan","Production","Meat, Total","2007","7606"
"Livestock Primary","Bhutan","Production","Meat, Total","2008","6790"
"Livestock Primary","Bhutan","Production","Meat, Total","2009","7121"
"Livestock Primary","Bhutan","Production","Meat, Total","2010","7096"
"Livestock Primary","Bhutan","Production","Meat, Total","2011","6674"
"Livestock Primary","Bhutan","Production","Meat, Total","2012","6956"
"Livestock Primary","Bhutan","Production","Milk,Total","1990","36740"
"Livestock Primary","Bhutan","Production","Milk,Total","1991","218333"
"Livestock Primary","Bhutan","Production","Milk,Total","1992","212020"
"Livestock Primary","Bhutan","Production","Milk,Total","1993","211071"
"Livestock Primary","Bhutan","Production","Milk,Total","1994","210406"
"Livestock Primary","Bhutan","Production","Milk,Total","1995","232314"
"Livestock Primary","Bhutan","Production","Milk,Total","1996","221677"
"Livestock Primary","Bhutan","Production","Milk,Total","1997","221579"
"Livestock Primary","Bhutan","Production","Milk,Total","1998","221820"
"Livestock Primary","Bhutan","Production","Milk,Total","1999","233956"
"Livestock Primary","Bhutan","Production","Milk,Total","2000","222659"
"Livestock Primary","Bhutan","Production","Milk,Total","2001","201901"
"Livestock Primary","Bhutan","Production","Milk,Total","2002","222582"
"Livestock Primary","Bhutan","Production","Milk,Total","2003","205711"
"Livestock Primary","Bhutan","Production","Milk,Total","2004","208442"
"Livestock Primary","Bhutan","Production","Milk,Total","2005","234294"
"Livestock Primary","Bhutan","Production","Milk,Total","2006","229562"
"Livestock Primary","Bhutan","Production","Milk,Total","2007","227294"
"Livestock Primary","Bhutan","Production","Milk,Total","2008","202169"
"Livestock Primary","Bhutan","Production","Milk,Total","2009","209803"
"Livestock Primary","Bhutan","Production","Milk,Total","2010","209851"
"Livestock Primary","Bhutan","Production","Milk,Total","2011","208678"
"Livestock Primary","Bhutan","Production","Milk,Total","2012","208673"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","1990","48000"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","1991","51000"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","1992","53000"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","1993","54000"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","1994","61000"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","1995","68000"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","1996","59000"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","1997","50000"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","1998","40013"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","1999","41238"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","2000","38935"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","2001","38679"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","2002","40635"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","2003","48300"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","2004","50881"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","2005","56135"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","2006","59315"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","2007","62585"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","2008","65380"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","2009","70640"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","2010","69790"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","2011","70050"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Eggs Primary","2012","70250"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","1990","264844"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","1991","273713"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","1992","271277"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","1993","284353"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","1994","310265"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","1995","325658"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","1996","342481"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","1997","360396"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","1998","391266"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","1999","397028"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","2000","401024"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","2001","416916"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","2002","431781"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","2003","440165"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","2004","460418"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","2005","503000"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","2006","598767"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","2007","680792"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","2008","707255"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","2009","636940"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","2010","703304"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","2011","704628"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Meat, Total","2012","702167"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","1990","154398"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","1991","156600"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","1992","172414"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","1993","176050"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","1994","178900"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","1995","234651"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","1996","237775"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","1997","242437"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","1998","231281"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","1999","270943"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","2000","275357"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","2001","210600"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","2002","332250"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","2003","338600"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","2004","351228"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","2005","360377"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","2006","294839"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","2007","301709"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","2008","308678"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","2009","403857"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","2010","474784"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","2011","507364"
"Livestock Primary","Bolivia (Plurinational State of)","Production","Milk,Total","2012","562381"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","1992","16600"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","1993","12800"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","1994","10200"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","1995","9700"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","1996","8000"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","1997","11100"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","1998","18700"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","1999","16800"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","2000","18200"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","2001","16800"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","2002","16600"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","2003","17000"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","2004","15640"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","2005","17619"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","2006","17000"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","2007","20340"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","2008","26200"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","2009","23600"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","2010","20820"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","2011","18300"
"Livestock Primary","Bosnia and Herzegovina","Production","Eggs Primary","2012","20450"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","1992","52500"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","1993","48100"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","1994","42700"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","1995","39370"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","1996","34030"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","1997","26323"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","1998","29089"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","1999","29478"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","2000","30560"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","2001","24765"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","2002","33250"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","2003","38600"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","2004","45322"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","2005","46096"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","2006","48419"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","2007","54217"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","2008","65333"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","2009","67890"
"Livestock Primary","Bosnia and Herzegovina","Production","Meat, Total","2010","76250"
